old,new,status,note
notes\MK\AI-idea\DeNAの「AIにオールイン」.md,notes\MK\20_notes\DeNAの「AIにオールイン」.md,moved,
notes\MK\ASMR\ASMR改良版プロンプト.md,notes\MK\20_notes\ASMR改良版プロンプト.md,moved,
notes\MK\ASMR\ASMR改良版プロンプト用ハッシュタグ.md,notes\MK\20_notes\ASMR改良版プロンプト用ハッシュタグ.md,moved,
notes\MK\chatgpt\deepresearch\出力レイアウト仕様（Markdown）.md,notes\MK\20_notes\出力レイアウト仕様（Markdown）.md,moved,
notes\MK\chatgpt\ideas\ダイエット計画プロンプト_v2.md,notes\MK\20_notes\ダイエット計画プロンプト_v2.md,moved,
notes\MK\chatgpt\Sora_prompt_output\sora_mechanical_mineral_fruits.md,notes\MK\20_notes\sora_mechanical_mineral_fruits.md,moved,
notes\MK\chatgpt\Template\prompt-eval-template.md,notes\MK\20_notes\prompt-eval-template.md,moved,
notes\MK\減量\90kg→70kg_減量計画.md,notes\MK\20_notes\90kg→70kg_減量計画.md,moved,
notes\MK\減量\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,notes\MK\20_notes\ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,moved,
notes\MK\減量\ダイエット計画_Kanban_Phase1_2.md.md,notes\MK\20_notes\ダイエット計画_Kanban_Phase1_2.md.md,moved,
